PlanId;Plannavn;Plantype;PlantypeId;Planstatus;PlanstatusId;IKraft;Lovreferanse;LovreferanseId;Vertikalnivå;VertikalnivåId;PlanBestemmelse;PlanBestemmelseId
0;Langes plan;Eldre reguleringsplan (PBL 1985);30;Opphevet;4;01.10.1922;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
2;Elvens vestside - gate langs elven;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;18.12.1933;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
4;Grimsmoen;Eldre reguleringsplan (PBL 1985);30;Opphevet;4;05.06.1909;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
5;Vestre Havn;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;10.02.1937;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
6;ODINSGATE og ST.OLAVS VEI;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;06.01.1937;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
7;Baneheia, reg. av Vestsiden;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;28.08.1937;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
8;RAVNDALSKROKEN;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;21.08.1937;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
9;Østerveien - Nedre Lundsvei;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;29.04.1938;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
10;GRIMSMYRA;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;01.12.1938;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
12;TORDENSKJOLDS GATE, GATEREGULERING;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;29.11.1940;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
13;KUHOLMEN - SNORRESGT.. endr.reg.;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;12.01.1940;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
14;KVADRATUREN, GATEREGULERING;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;25.02.1942;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
15;Vestsiden;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;26.10.1942;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
17;Gimlejordet;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;24.01.1947;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
19;Lovisenlund Alle;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;08.09.1949;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
20;Dronningensgate 42 og 46;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;30.10.1950;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
21;KUHOLMSTANGEN;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;22.09.1950;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
22;Agder allé;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;20.01.1950;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
23;Tegleverksveien v/Snorresgate;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;26.09.1950;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
24;Agder alle, del II;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;22.09.1950;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
25;MARVIKVEIEN 7, KIRKETOMT;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;01.12.1950;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
26;ELVEGATA -TOLLBODGATA.- DRONNINGENS GATE (KV.42);Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;23.08.1951;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
27;KVADRATUREN, GATEUTVIDELSE;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;12.01.1951;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
28;MØLLEVANNSVEIEN - GRIMSHAUGEN;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;14.04.1951;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
29;Hamreheia;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;24.10.1951;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
30;BELLEVUE OG DUEKNIPEN VEIREGULERING;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;03.01.1952;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
31;Andøya (gnr. 9 bnr. 1 og 2);Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;16.05.1952;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
32;PARADIS OG SOLVANG;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;09.10.1952;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
33;KONGSGÅRD ALLE (FREYASDAL);Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;30.01.1952;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
34;BERGSTIEN;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;30.04.1952;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
35;EGSOMRÅDET, REG. OG BEBYGGELSESPLAN;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;05.08.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
36;Vestre Strandgate 23,27,27a (byggelinje);Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;16.10.1953;Bygningsloven av 1924;2;På grunnen/vannoverflaten;2;;
37;VOIE - ANDØYVEIEN;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;15.06.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
38;Kronmarka;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;02.10.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
39;DALONA - FISKÅ;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;02.10.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
40;MØLLEVANNSHEIA;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;23.11.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
41;MARVIKSLETTA, NORDRE DEL OG LØEBAKKEN;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;14.10.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
42;MARVIKA;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;31.01.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
43;Teglverksveien 31 - 33;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;26.05.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
44;ESPELUNDSVEI-STRANDVEIEN-GIMLEVEIEN;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;23.06.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
45;ODDEMARKA;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;10.03.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
46;LOVISENLUND ALLE, ENDR. REG.;Eldre reguleringsplan (PBL 1985);30;Endelig vedtatt arealplan;3;30.05.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
47;PRESTVIKVEIENS NORDRE DEL;Eldre reguleringsplan (PBL 1985);30;Utgått/erstattet;5;19.11.1953;Plan- og bygningsloven av 1985 eller før;5;På grunnen/vannoverflaten;2;Uten bestemmelser;2
